261,246,247,246
248,248,243,261
272,269,223,236
243,288,232,237
250,238,260,252
256,263,246,235
241,258,242,259
246,230,267,257
250,264,237,249
237,247,255,261
260,278,223,239
242,257,250,251
250,264,250,236
234,264,243,259
256,259,249,236
246,268,237,249
255,235,261,249
234,251,261,254
250,252,249,249
262,253,250,235
238,240,259,263
273,232,266,229
253,236,245,266
257,237,246,260
273,263,221,243
257,246,254,243
263,235,261,241
259,250,251,240
217,257,239,287
222,266,255,257
263,250,244,243
240,272,239,249
251,240,255,254
250,241,252,257
256,264,229,251
264,243,250,243
246,247,258,249
270,233,252,245
251,256,257,236
256,222,256,266
267,244,262,227
255,274,226,245
261,259,220,260
256,250,258,236
223,267,253,257
230,248,272,250
255,247,251,247
258,268,234,240
253,238,246,263
258,236,261,245
252,251,253,244
260,263,223,254
262,258,262,218
240,267,247,246
252,244,235,269
242,243,267,248
255,231,250,264
253,236,259,252
244,245,240,271
233,248,276,243
253,276,248,223
228,266,246,260
241,266,232,261
276,255,227,242
249,252,251,248
260,250,260,230
270,243,248,239
262,258,232,248
245,267,243,245
264,232,252,252
244,244,264,248
245,245,242,268
255,273,231,241
239,254,262,245
236,253,253,258
264,272,241,223
255,244,255,246
245,235,262,258
252,252,263,233
264,243,246,247
252,247,250,251
258,262,224,256
250,251,246,253
263,244,258,235
250,270,233,247
257,230,244,269
271,229,234,266
240,236,262,262
242,232,265,261
229,275,238,258
235,257,251,257
247,269,232,252
250,251,269,230
280,257,229,234
249,227,249,275
258,243,241,258
240,257,246,257
230,254,236,280
259,242,240,259
252,254,261,233
